접수일자,제작사,차명,모델년도
2022-12-20,현대자동차(주),아이오닉6 (IONIQ6),2023
2022-12-20,르노코리아자동차 주식회사,QM6,2017
2022-12-20,(주)재규어랜드로버코리아,디스커버리 TD6,2019
2022-12-20,(주)대창모터스,다니고밴,2021
2022-12-20,현대자동차(주),그랜저(GRANDEUR),2017
2022-12-20,르노코리아자동차 주식회사,QM3,2015
2022-12-21,쌍용자동차(주),토레스,2023
2022-12-20,테슬라코리아 유한회사,Model 3 Long Range,2020
2022-12-20,비엠더블유코리아(주),BMW X5 xDrive40i,2022
2022-12-20,한불모터스(주),Peugeot 308SW 2.0 Blue-HDi,2015
2022-12-21,쌍용자동차(주),토레스,2023
2022-12-19,쌍용자동차(주),토레스,2023
2022-12-20,르노코리아자동차 주식회사,QM6,2017
2022-12-21,쌍용자동차(주),토레스,2023
2022-12-20,현대자동차(주),그랜저(GRANDEUR),2017
2022-12-21,르노코리아자동차 주식회사,QM6,2017
2022-12-21,한불모터스(주),Peugeot 508 2.0 BlueHDi,2020
2022-12-21,메르세데스벤츠코리아(주),S500 CGI L,2013
2022-12-21,르노코리아자동차 주식회사,QM6,2018
2022-12-19,현대자동차(주),아이오닉6 (IONIQ6),2023
2022-12-19,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2022-12-19,한국토요타자동차(주),렉서스 RX350,2010
2022-12-19,(유)기흥모터스,HARLEY-DAVIDSON RH1250S,2021
2022-12-19,현대자동차(주),아이오닉5(IONIQ5),2023
2022-12-19,한국지엠(주),트레일블레이저 1.35 TURBO FWD,2023
2022-12-19,한국지엠(주),트레일블레이저 1.35 TURBO FWD,2023
2022-12-19,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2018
2022-12-19,현대자동차(주),그랜저(GRANDEUR),2019
2022-12-19,현대자동차(주),제네시스(GENESIS),2015
2022-12-19,쌍용자동차(주),렉스턴스포츠 칸,2021
2022-12-19,(주)재규어랜드로버코리아,디스커버리 TD6,2018
2022-12-19,기아주식회사,K7,2017
2022-12-19,기아주식회사,K7,2016
2022-12-19,현대자동차(주),아반떼(AVANTE),2021
2022-12-19,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-19,현대자동차(주),그랜저(GRANDEUR),2023
2022-12-19,비엠더블유코리아(주),BMW 640d xDrive Gran Coupe,2016
2022-12-19,쌍용자동차(주),토레스,2023
2022-12-19,쌍용자동차(주),토레스,2023
2022-12-19,한국지엠(주),올란도 2.0 LPG,2014
2022-12-19,포르쉐코리아 주식회사,카이엔 E-하이브리드,2022
2022-12-19,쌍용자동차(주),토레스,2023
2022-12-19,현대자동차(주),그랜저(GRANDEUR),2019
2022-12-19,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-19,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-19,기아주식회사,쏘렌토 하이브리드,2023
2022-12-19,기아주식회사,쏘렌토 하이브리드,2023
2022-12-19,현대자동차(주),아이오닉6 (IONIQ6),2023
2022-12-19,현대자동차(주),제네시스(GENESIS),2014
2022-12-19,쌍용자동차(주),토레스,2023
2022-12-19,현대자동차(주),투싼(TUCSON),2016
2022-12-19,쌍용자동차(주),토레스,2023
2022-12-19,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-19,메르세데스벤츠코리아(주),E200 Cabriolet,2015
2022-12-19,쌍용자동차(주),토레스,2023
2022-12-19,기아주식회사,EV6,2022
2022-12-16,(주)스마트솔루션즈,SMART EV Z,2021
2022-12-19,쌍용자동차(주),토레스,2023
2022-12-19,현대자동차(주),아이오닉5 (IONIQ5),2023
2022-12-19,쌍용자동차(주),토레스,2023
2022-12-19,기아주식회사,스팅어,2019
2022-12-19,현대자동차(주),팰리세이드(PALISADE),2019
2022-12-16,폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI 4Motion,2018
