접수일자,제작사,차명,모델년도
2022-09-16,기아주식회사,K5,2016
2022-09-14,메르세데스벤츠코리아(주),Mercedes-Benz E350 4MATIC,2022
2022-09-16,한국지엠(주),올란도 2.0 LPG,2013
2022-09-16,기아주식회사,카니발,2018
2022-09-16,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2022-09-16,기아주식회사,K8 하이브리드,2022
2022-09-16,현대자동차(주),그랜저(GRANDEUR) 하이브리드,2015
2022-09-16,메르세데스벤츠코리아(주),Mercedes-Benz A250 4MATIC,2020
2022-09-16,르노코리아자동차 주식회사,SM6,2016
2022-09-16,현대자동차(주),아반떼(AVANTE),2021
2022-09-14,현대자동차(주),엑시언트(XCIENT),2020
2022-09-14,메르세데스벤츠코리아(주),E300,2019
2022-09-16,현대자동차(주),아반떼(AVANTE),2021
2022-09-16,폭스바겐그룹코리아 주식회사,Arteon 2.0 TDI,2019
2022-09-15,르노코리아자동차 주식회사,QM6,2017
2022-09-15,현대자동차(주),아반떼(AVANTE),2021
2022-09-15,르노코리아자동차 주식회사,SM6,2016
2022-09-15,현대자동차(주),팰리세이드(PALISADE),2023
2022-09-15,한국지엠(주),올란도 2.0 LPG,2016
2022-09-15,한국지엠(주),올란도 2.0 LPG,2017
2022-09-15,기아주식회사,쏘렌토,2016
2022-09-15,기아주식회사,카니발,2015
2022-09-13,한국상용트럭(주),한국상용16톤윙바디트럭,2021
2022-09-15,기아주식회사,쏘렌토,2018
2022-09-15,비엠더블유코리아(주),BMW 520d,2017
2022-09-15,현대자동차(주),아반떼(AVANTE),2021
2022-09-15,비엠더블유코리아(주),BMW 520d xDrive,2017
2022-09-13,비엠더블유코리아(주),MINI Cooper five-door(15),2020
2022-09-15,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2022-09-15,현대자동차(주),스타리아 (STARIA),2022
2022-09-13,현대자동차(주),쏘나타(SONATA),2006
2022-09-16,현대자동차(주),아반떼 Hybrid(AVANTE Hybrid),2021
2022-09-16,기아주식회사,쏘울 전기차,2019
2022-09-15,현대자동차(주),아반떼(AVANTE),2021
2022-09-15,폭스바겐그룹코리아 주식회사,Arteon 2.0 TDI,2019
2022-09-19,(주)재규어랜드로버코리아,디스커버리 SD4,2018
2022-09-15,르노코리아자동차 주식회사,QM6,2019
2022-09-15,한국지엠(주),올란도 2.0 LPG,2015
2022-09-15,현대자동차(주),그랜드 스타렉스(GRAND STAREX),2017
2022-09-15,한국지엠(주),트랙스 1.4,2016
2022-09-15,한국지엠(주),트랙스 1.4,2016
2022-09-13,기아주식회사,K7,2013
2022-09-15,르노코리아자동차 주식회사,QM6,2017
2022-09-15,르노코리아자동차 주식회사,QM3,2016
2022-09-15,기아주식회사,카니발 리무진,2023
2022-09-14,현대자동차(주),아반떼(AVANTE),2021
2022-09-14,현대자동차(주),아반떼(AVANTE),2021
2022-09-14,한국지엠(주),말리부 2.0 디젤,2015
2022-09-14,르노코리아자동차 주식회사,QM3,2017
2022-09-14,현대자동차(주),팰리세이드(PALISADE),2023
2022-09-14,현대자동차(주),아반떼(AVANTE),2021
2022-09-14,한국지엠(주),트레일블레이저 1.35 TURBO AWD,2022
2022-09-14,한국지엠(주),트레일블레이저 1.35 TURBO AWD,2022
2022-09-14,르노코리아자동차 주식회사,QM6,2017
2022-09-14,쌍용자동차(주),G4 렉스턴,2019
2022-09-14,기아주식회사,스포티지 하이브리드,2022
2022-09-14,한국지엠(주),말리부 1.5 TURBO,2017
2022-09-14,유한회사 모토로싸,SCRAMBLER CAFE RACER,2017
2022-09-14,기아주식회사,쏘렌토,2016
2022-09-14,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-09-14,르노코리아자동차 주식회사,QM6,2019
2022-09-14,한국지엠(주),트랙스 1.6 디젤,2017
2022-09-14,르노코리아자동차 주식회사,QM3,2017
2022-09-14,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2022-09-14,현대자동차(주),쏘나타 (SONATA),2010
2022-09-14,비엠더블유코리아(주),BMW 630d xDrive,2018
2022-09-14,현대자동차(주),캐스퍼(CASPER),2023
2022-09-14,현대자동차(주),G80,2018
2022-09-14,비엠더블유코리아(주),BMW 530i,2017
2022-09-14,한불모터스(주),Peugeot 3008 1.5 BlueHDi,2019
2022-09-14,한국지엠(주),말리부 1.8 HYBRID,2017
2022-09-13,르노코리아자동차 주식회사,XM3,2023
2022-09-13,현대자동차(주),아반떼(AVANTE),2021
2022-09-13,메르세데스벤츠코리아(주),Mercedes-Benz E350 4MATIC,2021
2022-09-13,현대자동차(주),아반떼(AVANTE),2021
2022-09-13,르노코리아자동차 주식회사,QM6,2017
2022-09-13,현대자동차(주),아반떼(AVANTE),2021
2022-09-14,르노코리아자동차 주식회사,QM6,2017
2022-09-13,현대자동차(주),아반떼(AVANTE),2021
2022-09-13,현대자동차(주),아반떼(AVANTE),2021
2022-09-13,현대자동차(주),아반떼(AVANTE),2021
2022-09-13,폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI,2020
2022-09-13,메르세데스벤츠코리아(주),Mercedes-Benz GLB220,2021
2022-09-13,현대자동차(주),캐스퍼(CASPER),2023
2022-09-13,현대자동차(주),캐스퍼(CASPER),2023
2022-09-13,현대자동차(주),투싼(TUCSON),2021
2022-09-13,메르세데스벤츠코리아(주),Mercedes-Benz CLA250 4MATIC,2020
2022-09-13,현대자동차(주),G80,2021
2022-09-13,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-09-13,비엠더블유코리아(주),BMW 530i,2017
2022-09-13,르노코리아자동차 주식회사,SM6,2016
2022-09-14,한불모터스(주),Citroen C4 SPACETOURER 1.6 BlueHDi,2019
2022-09-14,르노코리아자동차 주식회사,QM6,2017
2022-09-08,기아주식회사,쏘렌토 하이브리드,2022
2022-09-08,기아주식회사,카렌스,2015
2022-09-14,한불모터스(주),Citroen Grand C4 Picasso 1.6 BlueHDi,2019
2022-09-14,메르세데스벤츠코리아(주),Mercedes-Benz CLA250 4MATIC,2020
2022-09-14,메르세데스벤츠코리아(주),Mercedes-AMG GLB35 4MATIC,2021
2022-09-13,한불모터스(주),Peugeot 3008 1.6 Blue-HDi,2016
2022-09-13,한국지엠(주),말리부 1.5 TURBO,2017
2022-09-13,메르세데스벤츠코리아(주),Mercedes-AMG GT43 4Matic +,2020
2022-09-13,한국지엠(주),올란도 2.0 LPG,2013
2022-09-13,한불모터스(주),Peugeot 3008 GT 2.0 BlueHDi,2018
2022-09-13,르노코리아자동차 주식회사,QM3,2014
2022-09-13,르노코리아자동차 주식회사,QM6,2017
2022-09-13,현대자동차(주),맥스크루즈 (MAXCRUZ),2016
2022-09-13,비엠더블유코리아(주),BMW 640d xDrive Gran Coupe,2016
2022-09-08,쌍용자동차(주),티볼리 에어,2017
2022-09-13,비엠더블유코리아(주),BMW 640d xDrive Gran Coupe,2016
2022-09-13,한국지엠(주),윈스톰2.0S디젤,2010
2022-09-13,비엠더블유코리아(주),BMW 640d xDrive Gran Coupe,2016
2022-09-13,메르세데스벤츠코리아(주),Mercedes-Benz GLB220,2020
2022-09-13,현대자동차(주),캐스퍼(CASPER),2023
2022-09-08,현대자동차(주),아반떼(AVANTE),2021
2022-09-08,현대자동차(주),캐스퍼(CASPER),2023
2022-09-08,비엠더블유코리아(주),BMW X7 xDrive40d,2022
2022-09-08,메르세데스벤츠코리아(주),Mercedes-Benz CLA250 4MATIC,2021
2022-09-08,(주)재규어랜드로버코리아,재규어 XF 20d,2018
2022-09-08,기아주식회사,스포티지 하이브리드,2022
2022-09-08,(주)재규어랜드로버코리아,레인지로버 벨라 D300,2018
2022-09-08,(주)재규어랜드로버코리아,레인지로버 스포츠 3.0D,2016
2022-09-08,현대자동차(주),G80,2017
2022-09-08,혼다코리아(주),ACCORD HYBRID,2018
2022-09-08,르노코리아자동차 주식회사,QM6,2017
2022-09-08,메르세데스벤츠코리아(주),Mercedes-Benz A220,2021
2022-09-08,르노코리아자동차 주식회사,QM3,2015
2022-09-08,르노코리아자동차 주식회사,QM6,2017
2022-09-08,폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI Blue Motion,2015
2022-09-08,현대자동차(주),캐스퍼(CASPER),2023
2022-09-08,르노코리아자동차 주식회사,QM3,2014
2022-09-08,한불모터스(주),Citroen C4 Cactus 1.6 BlueHDi,2017
2022-09-08,기아주식회사,니로 EV,2019
2022-09-07,포드세일즈서비스코리아(유),링컨MKS,2014
2022-09-07,쌍용자동차(주),렉스턴스포츠,2021
2022-09-08,현대자동차(주),팰리세이드(PALISADE),2022
2022-09-08,기아주식회사,EV6,2022
2022-09-07,비엠더블유코리아(주),BMW 530d,2017
2022-09-07,쌍용자동차(주),렉스턴스포츠,2020
2022-09-07,현대자동차(주),i 30,2008
2022-09-07,르노코리아자동차 주식회사,QM3,2014
2022-09-07,기아주식회사,K5,2011
2022-09-07,비엠더블유코리아(주),BMW 520d,2017
2022-09-07,기아주식회사,니로 EV,2019
2022-09-07,르노코리아자동차 주식회사,QM6,2019
2022-09-07,폭스바겐그룹코리아 주식회사,Golf 2.0 TDI BMT,2015
2022-09-07,기아주식회사,셀토스,2023
2022-09-07,폭스바겐그룹코리아 주식회사,A6 35 TDI,2018
2022-09-07,한국지엠(주),말리부 1.5 TURBO,2017
2022-09-07,르노코리아자동차 주식회사,QM6,2017
2022-09-07,한국지엠(주),아베오 1.6 DOHC,2013
2022-09-07,르노코리아자동차 주식회사,QM6,2020
2022-09-06,기아주식회사,포르테 하이브리드,2010
2022-09-07,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2022-09-07,(주)스마트솔루션즈,SMART EV Z,2021
2022-09-07,현대자동차(주),캐스퍼(CASPER),2023
2022-09-06,메르세데스벤츠코리아(주),Mercedes-Benz S580 4MATIC,2022
2022-09-08,한불모터스(주),Peugeot 508 2.0 BlueHDi,2020
2022-09-06,혼다코리아(주),NSS350A,2022
2022-09-08,현대자동차(주),싼타페(SANTAFE),2014
2022-09-08,기아주식회사,카니발 리무진,2023
2022-09-07,현대자동차(주),팰리세이드(PALISADE),2023
2022-09-07,한국지엠(주),올란도 2.0 LPG,2015
2022-09-07,현대자동차(주),아반떼(AVANTE),2017
2022-09-07,현대자동차(주),쏘나타(SONATA),2022
2022-09-07,르노코리아자동차 주식회사,QM6,2019
2022-09-07,테슬라코리아 유한회사,Model 3 Long Range,2022
2022-09-07,기아주식회사,봉고Ⅲ 1.2톤,2022
2022-09-07,현대자동차(주),캐스퍼(CASPER),2023
2022-09-07,르노코리아자동차 주식회사,QM6,2019
2022-09-07,르노코리아자동차 주식회사,QM6,2020
2022-09-07,비엠더블유코리아(주),BMW 530i xDrive M Sport Package Plus,2019
2022-09-07,한국지엠(주),캡티바 2.0 디젤,2016
2022-09-07,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018
2022-09-07,르노코리아자동차 주식회사,QM6,2020
2022-09-07,르노코리아자동차 주식회사,QM6,2022
2022-09-06,현대자동차(주),캐스퍼(CASPER),2023
2022-09-06,기아주식회사,셀토스,2023
2022-09-06,폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI Blue Motion,2015
2022-09-06,현대자동차(주),아반떼(AVANTE),2021
2022-09-06,기아주식회사,니로 EV,2019
2022-09-06,기아주식회사,셀토스,2023
2022-09-06,기아주식회사,카렌스,2012
2022-09-05,,1,
2022-09-05,현대자동차(주),캐스퍼(CASPER),2023
2022-09-05,현대자동차(주),캐스퍼(CASPER),2022
2022-09-06,비엠더블유코리아(주),BMW X6 M50i,2021
2022-09-06,한국지엠(주),올란도 2.0 LPG,2014
2022-09-06,메르세데스벤츠코리아(주),S400 d 4Matic L,2018
2022-09-06,르노코리아자동차 주식회사,QM6,2018
2022-09-06,르노코리아자동차 주식회사,QM6,2022
2022-09-05,한국상용트럭(주),한국상용8.5톤카고트럭,2020
2022-09-06,현대자동차(주),GV60,2022
2022-09-06,현대자동차(주),그랜저 하이브리드,2019
2022-09-06,르노코리아자동차 주식회사,QM6,2020
2022-09-06,르노코리아자동차 주식회사,QM6,2022
2022-09-06,르노코리아자동차 주식회사,QM6,2017
2022-09-07,한국지엠(주),말리부 2.0 TURBO,2017
2022-09-06,(주)재규어랜드로버코리아,디스커버리 SD4,2017
2022-09-06,현대자동차(주),캐스퍼(CASPER),2023
2022-09-06,한국지엠(주),말리부 2.0 TURBO,2018
2022-09-06,기아주식회사,쏘렌토,2015
2022-09-06,한국지엠(주),트랙스 1.6 디젤,2017
2022-09-06,현대자동차(주),팰리세이드(PALISADE),2023
2022-09-06,현대자동차(주),그랜저(GRANDEUR),2015
2022-09-06,한불모터스(주),푸조 508 2.0 HDi,2015
2022-09-06,현대자동차(주),싼타페(SANTAFE),2013
2022-09-06,현대자동차(주),캐스퍼(CASPER),2023
2022-09-06,한국지엠(주),말리부 1.8 HYBRID,2017
2022-09-06,현대자동차(주),아반떼(AVANTE),2021
2022-09-06,(주)재규어랜드로버코리아,재규어 F-PACE 20d,2017
2022-09-06,현대자동차(주),아반떼 Hybrid(AVANTE Hybrid),2021
2022-09-06,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-09-05,현대자동차(주),캐스퍼(CASPER),2023
2022-09-05,기아주식회사,니로 EV,2019
2022-09-05,디앤에이모터스 주식회사,EM-1,2021
2022-09-05,현대자동차(주),팰리세이드(PALISADE),2023
2022-09-05,현대자동차(주),캐스퍼(CASPER),2023
2022-09-05,르노코리아자동차 주식회사,QM3,2014
2022-09-05,(주)한성특장,한성8.5톤카고,2022
2022-09-05,기아주식회사,니로 EV,2019
2022-09-05,메르세데스벤츠코리아(주),벤츠 A220 Sedan,2020
2022-09-05,(주)볼보자동차코리아,볼보 XC90T6 AWD,2019
2022-09-05,비엠더블유코리아(주),BMW 530i xDrive,2018
2022-09-06,현대자동차(주),투싼 하이브리드(TUCSON HYBRID),2021
2022-09-05,(주)재규어랜드로버코리아,레인지로버 4.4D,2018
2022-09-05,현대자동차(주),싼타페(SANTAFE),2019
2022-09-05,포르쉐코리아 주식회사,911 카레라 GTS 카브리올레,2022
2022-09-05,메르세데스벤츠코리아(주),E220 d Coupe,2017
2022-09-06,현대자동차(주),투싼 하이브리드(TUCSON HYBRID),2021
2022-09-05,(주)재규어랜드로버코리아,디스커버리4 3.0D,2012
2022-09-05,쌍용자동차(주),코란도C,2013
2022-09-06,(주)재규어랜드로버코리아,디스커버리 SD4,2019
2022-09-02,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2016
2022-09-05,르노코리아자동차 주식회사,QM6,2017
2022-09-05,기아주식회사,카니발 리무진,2020
2022-09-05,한국지엠(주),말리부 1.5 TURBO,2017
2022-09-05,현대자동차(주),팰리세이드(PALISADE),2023
2022-09-05,현대자동차(주),캐스퍼(CASPER),2022
2022-09-05,현대자동차(주),캐스퍼(CASPER),2023
2022-09-05,(주)재규어랜드로버코리아,재규어 XF 20d,2017
2022-09-05,한불모터스(주),DS7 Crossback 2.0 BlueHDi,2019
2022-09-05,비엠더블유코리아(주),BMW 520d,2017
2022-09-02,현대자동차(주),엑시언트(XCIENT)트랙터,2023
2022-09-05,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2018
2022-09-05,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-09-05,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-09-05,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-09-02,기아주식회사,모닝,2023
2022-09-02,한국지엠(주),올란도 2.0 LPG,2014
2022-09-02,현대자동차(주),캐스퍼(CASPER),2022
2022-09-02,르노코리아자동차 주식회사,QM6,2018
2022-09-02,한국지엠(주),올란도 2.0 LPG,2016
2022-09-02,현대자동차(주),캐스퍼(CASPER),2023
2022-09-01,기아주식회사,K7,2016
2022-09-02,현대자동차(주),그랜저(GRANDEUR),2011
2022-09-02,메르세데스벤츠코리아(주),Mercedes-Benz CLA250 4MATIC,2021
2022-09-02,기아주식회사,스포티지,2022
2022-09-01,디앤에이모터스 주식회사,EM-1,2022
2022-09-02,혼다코리아(주),ACCORD HYBRID,2018
2022-09-01,현대자동차(주),캐스퍼(CASPER),2022
2022-09-02,르노코리아자동차 주식회사,SM6,2016
2022-09-02,기아주식회사,K7,2012
2022-09-02,한국지엠(주),올란도 2.0 LPG,2012
2022-09-01,현대자동차(주),포터Ⅱ (PORTERⅡ),2022
2022-09-02,현대자동차(주),아반떼(AVANTE),2021
2022-09-02,현대자동차(주),아이오닉5(IONIQ5),2022
2022-09-02,현대자동차(주),싼타페(SANTAFE),2013
2022-09-02,현대자동차(주),싼타페(SANTAFE),2013
2022-09-02,기아주식회사,K7,2020
2022-09-01,현대자동차(주),아반떼 Hybrid(AVANTE Hybrid),2023
2022-09-01,기아주식회사,카니발 리무진,2023
2022-08-31,현대자동차(주),제네시스(GENESIS),2010
2022-09-01,현대자동차(주),그랜저(GRANDEUR),2016
2022-09-01,(주)재규어랜드로버코리아,디스커버리 SD4,2018
2022-09-01,(주)재규어랜드로버코리아,디스커버리 SD4,2017
2022-09-01,(주)재규어랜드로버코리아,디스커버리 TD6,2018
2022-08-31,쌍용자동차(주),코란도스포츠,2017
2022-09-01,한국지엠(주),올란도 2.0 LPG,2013
2022-08-31,현대자동차(주),싼타페(SANTAFE),2016
2022-09-01,에스엠코리아 주식회사,SM2.8톤차량운송트럭,2022
2022-09-01,(주)재규어랜드로버코리아,디스커버리 SD4,2017
2022-09-01,르노코리아자동차 주식회사,QM6,2017
2022-09-01,현대자동차(주),그랜드 스타렉스(GRAND STAREX),2011
2022-08-31,쌍용자동차(주),렉스턴스포츠,2019
2022-09-01,기아주식회사,봉고Ⅲ 1.2톤,2022
2022-09-01,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-09-02,르노코리아자동차 주식회사,SM5 D,2014
2022-08-31,기아주식회사,셀토스,2022
2022-09-01,폭스바겐그룹코리아 주식회사,A6 45 TFSI quattro,2021
2022-09-01,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2018
2022-09-01,혼다코리아(주),ACCORD HYBRID,2019
2022-09-01,혼다코리아(주),ACCORD HYBRID,2019
2022-09-01,혼다코리아(주),ACCORD HYBRID,2019
2022-09-01,메르세데스벤츠코리아(주),GLC300 4Matic,2019
2022-09-01,기아주식회사,니로 EV,2019
2022-08-31,혼다코리아(주),ACCORD HYBRID,2021
2022-09-02,포드세일즈서비스코리아(유),Explorer 3.0,2021
2022-08-31,폭스바겐그룹코리아 주식회사,A4 30 TDI,2015
2022-08-31,현대자동차(주),캐스퍼(CASPER),2023
2022-08-31,기아주식회사,K7,2017
2022-08-30,현대자동차(주),G80,2021
2022-08-30,르노코리아자동차 주식회사,CAPTUR,2021
2022-08-30,메르세데스벤츠코리아(주),Mercedes-Benz EQB300 4MATIC,2022
2022-08-31,현대자동차(주),캐스퍼(CASPER),2023
2022-08-31,현대자동차(주),코나 일렉트릭 (KONA ELECTRIC),2019
2022-08-31,현대자동차(주),그랜저(GRANDEUR),2017
2022-08-31,현대자동차(주),쏘나타 하이브리드(SONATA HYBRID),2018
2022-08-31,기아주식회사,니로 하이브리드,2017
2022-08-31,르노코리아자동차 주식회사,SM5 D,2014
2022-08-31,기아주식회사,니로 EV,2019
2022-08-31,한국지엠(주),올란도 2.0 LPG,2015
2022-08-30,현대자동차(주),캐스퍼(CASPER),2022
2022-08-31,현대자동차(주),싼타페(SANTAFE),2015
2022-08-31,현대자동차(주),그랜저(GRANDEUR),2019
2022-08-30,기아주식회사,K7,2016
2022-08-30,폭스바겐그룹코리아 주식회사,A6 40 TDI quattro,2021
2022-08-30,쌍용자동차(주),렉스턴스포츠,2019
2022-08-30,르노코리아자동차 주식회사,SM5,2013
2022-08-30,기아주식회사,쏘렌토 하이브리드,2021
2022-08-30,현대자동차(주),제네시스(GENESIS),2016
2022-08-29,폭스바겐그룹코리아 주식회사,e-tron 55 quattro,2020
2022-08-30,메르세데스벤츠코리아(주),GLC350 e 4Matic,2018
2022-08-30,르노코리아자동차 주식회사,QM3,2014
2022-08-30,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-08-30,현대자동차(주),캐스퍼(CASPER),2023
2022-08-29,현대자동차(주),GV70,2022
2022-08-30,폭스바겐그룹코리아 주식회사,A6 45 TDI quattro,2020
2022-08-30,현대자동차(주),코나 일렉트릭 (KONA ELECTRIC),2019
2022-08-30,한국지엠(주),올란도 2.0 LPG,2013
2022-08-30,현대자동차(주),캐스퍼(CASPER),2022
2022-08-30,메르세데스벤츠코리아(주),E200 CGI,2011
2022-08-30,비엠더블유코리아(주),BMW 535d,2014
2022-08-30,현대자동차(주),캐스퍼(CASPER),2023
2022-08-30,르노코리아자동차 주식회사,QM6,2017
2022-08-30,르노코리아자동차 주식회사,QM6,2017
2022-08-30,현대자동차(주),그랜저(GRANDEUR),2018
2022-08-30,쌍용자동차(주),토레스,2023
2022-08-30,현대자동차(주),캐스퍼(CASPER),2023
2022-08-30,르노코리아자동차 주식회사,QM3,2014
2022-08-30,현대자동차(주),캐스퍼(CASPER),2023
2022-08-30,기아주식회사,카니발 리무진,2019
2022-08-30,기흥인터내셔널 유한회사,McLaren 570S Spider,2019
2022-08-30,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2022-08-30,현대자동차(주),아반떼(AVANTE),2017
2022-08-30,현대자동차(주),캐스퍼(CASPER),2023
2022-08-30,현대자동차(주),팰리세이드(PALISADE),2023
2022-08-30,현대자동차(주),캐스퍼(CASPER),2023
2022-08-30,현대자동차(주),캐스퍼(CASPER),2023
2022-08-30,(주)볼보자동차코리아,볼보 XC90B6 AWD,2022
2022-08-30,현대자동차(주),아반떼(AVANTE),2021
2022-08-30,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-08-30,쌍용자동차(주),렉스턴스포츠,2019
2022-08-30,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018
2022-08-29,메르세데스벤츠코리아(주),Mercedes-Benz GLE350 e 4MATIC,2022
2022-08-29,쌍용자동차(주),코란도,2021
2022-08-29,현대자동차(주),캐스퍼(CASPER),2023
2022-08-29,기아주식회사,니로 EV,2020
2022-08-29,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-08-29,현대자동차(주),제네시스(GENESIS),2016
2022-08-29,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-08-29,한국상용트럭(주),한국상용14톤카고트럭,2022
2022-08-29,현대자동차(주),팰리세이드(PALISADE),2023
2022-08-29,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-08-29,기아주식회사,K5,2016
2022-08-29,현대자동차(주),아반떼(AVANTE),2021
2022-08-29,현대자동차(주),캐스퍼(CASPER),2023
2022-08-29,현대자동차(주),코나 일렉트릭 (KONA ELECTRIC),2019
2022-08-29,한불모터스(주),Peugeot 5008 1.5 BlueHDi,2019
2022-08-29,기아주식회사,스포티지,2022
2022-08-29,(주)재규어랜드로버코리아,재규어 F-PACE 20d AWD,2019
2022-08-29,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-08-29,기아주식회사,쏘렌토 하이브리드,2021
2022-08-29,르노코리아자동차 주식회사,SM6,2016
2022-08-29,현대자동차(주),캐스퍼(CASPER),2023
2022-08-30,르노코리아자동차 주식회사,QM6,2017
2022-08-26,현대자동차(주),그랜저(GRANDEUR),2019
2022-08-31,한국지엠(주),말리부 1.8 HYBRID,2017
2022-08-30,메르세데스벤츠코리아(주),Mercedes-Benz E300 e 4MATIC,2021
2022-08-26,현대자동차(주),아반떼(AVANTE),2019
2022-08-30,현대자동차(주),캐스퍼(CASPER),2023
2022-08-29,르노코리아자동차 주식회사,QM3,2015
2022-08-30,현대자동차(주),아반떼 하이브리드(AVANTE HYBRID),2012
2022-08-29,현대자동차(주),코나 일렉트릭 (KONA ELECTRIC),2019
2022-08-26,메르세데스벤츠코리아(주),Mercedes-Maybach S580 4MATIC,2022
2022-08-29,메르세데스벤츠코리아(주),E220 d,2017
2022-08-29,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-08-29,르노코리아자동차 주식회사,MASTER,2020
2022-08-29,지엠코리아(주),캐딜락 CTS RWD,2018
2022-08-29,현대자동차(주),쏘나타 하이브리드(SONATA HYBRID),2016
2022-08-29,한국닛산(주),ALTIMA 2.5,2017
2022-08-29,현대자동차(주),싼타페(SANTAFE),2019
2022-08-29,한불모터스(주),Peugeot 5008 1.5 BlueHDi,2019
2022-08-29,비엠더블유코리아(주),BMW 530d,2017
2022-08-29,르노코리아자동차 주식회사,QM6,2017
2022-08-29,르노코리아자동차 주식회사,QM6,2017
2022-08-26,비바모빌리티 주식회사,비바,2022
2022-08-29,기아주식회사,카니발 리무진,2019
2022-08-29,현대자동차(주),팰리세이드(PALISADE),2023
2022-08-29,메르세데스벤츠코리아(주),Mercedes-Benz E300 e 4MATIC,2020
2022-08-26,현대자동차(주),캐스퍼(CASPER),2023
2022-08-26,(주)에프엠케이,마세라티 르반떼 디젤,2017
2022-08-26,기아주식회사,니로 EV,2019
2022-08-26,현대자동차(주),그랜저(GRANDEUR),2011
2022-08-26,현대자동차(주),제네시스(GENESIS),2015
2022-08-26,현대자동차(주),그랜저(GRANDEUR) 하이브리드,2015
2022-08-26,현대자동차(주),캐스퍼(CASPER),2023
2022-08-25,한국지엠(주),트레일블레이저 1.35 TURBO FWD,2022
2022-08-26,(주)재규어랜드로버코리아,재규어 XF 20d,2017
2022-08-26,기아주식회사,K5,2020
2022-08-26,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018
2022-08-26,메르세데스벤츠코리아(주),GLC350 e 4Matic,2018
2022-08-25,쌍용자동차(주),코란도스포츠,2016
2022-08-25,기아주식회사,쏘렌토 하이브리드,2021
2022-08-26,메르세데스벤츠코리아(주),Mercedes-Benz E300 e 4MATIC,2021
2022-08-26,르노코리아자동차 주식회사,QM6,2019
2022-08-26,현대자동차(주),아반떼(AVANTE),2021
2022-08-26,한국지엠(주),말리부 1.8 HYBRID,2017
2022-08-26,메르세데스벤츠코리아(주),Mercedes-Benz GLC300 e 4MATIC,2020
2022-08-25,기아주식회사,스팅어,2020
2022-08-25,현대자동차(주),마이티보틀캐리어,2019
2022-08-25,현대자동차(주),캐스퍼(CASPER),2023
2022-08-26,기아주식회사,K7,2017
2022-08-26,비엠더블유코리아(주),BMW 520d xDrive,2018
2022-08-25,(주)온세특장,온세9톤사료운반차,2021
2022-08-26,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2018
2022-08-26,비엠더블유코리아(주),BMW 320d Gran Turismo,2016
2022-08-25,기아주식회사,카니발 리무진,2023
2022-08-25,현대자동차(주),팰리세이드(PALISADE),2023
2022-08-25,현대자동차(주),투싼(TUCSON),2016
2022-08-25,비엠더블유코리아(주),BMW 520d xDrive,2017
2022-08-25,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-08-25,한국닛산(주),ALTIMA 2.5,2017
2022-08-25,폭스바겐그룹코리아 주식회사,A6 40 TDI quattro,2020
2022-08-25,현대자동차(주),아반떼(AVANTE),2021
2022-08-25,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-08-24,현대자동차(주),그랜저(GRANDEUR),2020
2022-08-24,르노코리아자동차 주식회사,SM6,2017
2022-08-25,현대자동차(주),포터Ⅱ (PORTERⅡ),2020
2022-08-24,혼다코리아(주),ACCORD HYBRID,2021
2022-08-25,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019
2022-08-25,현대자동차(주),넥쏘 (NEXO) 수소전기차,2019
2022-08-25,비엠더블유코리아(주),BMW 520d xDrive,2017
2022-08-25,메르세데스벤츠코리아(주),Mercedes-Benz GLC300 e 4MATIC,2021
