,제작사,차명,모델년도,리콜개시일,계절,월별
242,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-13,Winter,Jan
243,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-13,Winter,Jan
244,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022.0,2022-01-13,Winter,Jan
245,포르쉐코리아 주식회사,카이엔 E-하이브리드 COUPE (5인승),2021.0,2022-01-13,Winter,Jan
246,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022.0,2022-01-13,Winter,Jan
247,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-13,Winter,Jan
248,폭스바겐그룹코리아 주식회사,Golf 2.0 TDI BMT,2016.0,2022-01-13,Winter,Jan
249,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-13,Winter,Jan
250,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-13,Winter,Jan
251,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022.0,2022-01-13,Winter,Jan
252,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-13,Winter,Jan
253,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022.0,2022-01-13,Winter,Jan
254,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022.0,2022-01-13,Winter,Jan
255,기아주식회사,K5 하이브리드,2021.0,2022-01-13,Winter,Jan
256,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022.0,2022-01-13,Winter,Jan
257,기아주식회사,쏘렌토,2015.0,2022-01-13,Winter,Jan
258,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022.0,2022-01-14,Winter,Jan
259,현대자동차(주),맥스크루즈 (MAXCRUZ),2017.0,2022-01-14,Winter,Jan
260,한국지엠(주),트레일블레이저 1.35 TURBO AWD,2022.0,2022-01-14,Winter,Jan
261,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022.0,2022-01-14,Winter,Jan
262,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-14,Winter,Jan
263,현대자동차(주),팰리세이드(PALISADE),2022.0,2022-01-14,Winter,Jan
264,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-14,Winter,Jan
265,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-14,Winter,Jan
266,폭스바겐그룹코리아 주식회사,A4 2.0 TFSI Quattro,2010.0,2022-01-14,Winter,Jan
267,기아주식회사,모하비,2021.0,2022-01-14,Winter,Jan
268,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018.0,2022-01-14,Winter,Jan
269,기아주식회사,봉고Ⅲ EV 윙바디,2021.0,2022-01-14,Winter,Jan
270,현대자동차(주),쏘나타 하이브리드(SONATA HYBRID),2015.0,2022-01-14,Winter,Jan
271,한국지엠(주),올란도 2.0 디젤,2012.0,2022-01-14,Winter,Jan
272,현대자동차(주),맥스크루즈 (MAXCRUZ),2017.0,2022-01-14,Winter,Jan
273,메르세데스벤츠코리아(주),C 300,2021,2022-01-14,Winter,Jan
274,메르세데스벤츠코리아(주),C 200 4MATIC,2021,2022-01-14,Winter,Jan
275,메르세데스벤츠코리아(주),C 300,2021,2022-01-14,Winter,Jan
276,비엠더블유코리아(주),BMW i4 eDrive40,2021,2022-01-14,Winter,Jan
277,비엠더블유코리아(주),BMW i4 M50,2021,2022-01-14,Winter,Jan
278,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-14,Winter,Jan
279,메르세데스벤츠코리아(주),C 200 4MATIC,2021,2022-01-14,Winter,Jan
280,한국지엠(주),올란도 2.0 LPG,2014.0,2022-01-14,Winter,Jan
281,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022.0,2022-01-14,Winter,Jan
282,메르세데스벤츠코리아(주),E300,2012.0,2022-01-14,Winter,Jan
283,현대자동차(주),맥스크루즈 (MAXCRUZ),2017.0,2022-01-14,Winter,Jan
284,현대자동차(주),싼타페(SANTAFE),2014.0,2022-01-14,Winter,Jan
285,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-14,Winter,Jan
286,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022.0,2022-01-14,Winter,Jan
287,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-14,Winter,Jan
288,비엠더블유코리아(주),BMW 528i,2010.0,2022-01-14,Winter,Jan
289,폭스바겐그룹코리아 주식회사,A7 55 TFSI quattro,2021.0,2022-01-14,Winter,Jan
290,기아주식회사,K7,2016.0,2022-01-14,Winter,Jan
291,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-14,Winter,Jan
292,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022.0,2022-01-14,Winter,Jan
293,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-14,Winter,Jan
294,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022.0,2022-01-14,Winter,Jan
295,폭스바겐그룹코리아 주식회사,Jetta 2.0 TDI BMT,2016.0,2022-01-14,Winter,Jan
296,현대자동차(주),팰리세이드(PALISADE),2021.0,2022-01-14,Winter,Jan
297,기아주식회사,모하비,2021.0,2022-01-14,Winter,Jan
298,르노코리아자동차 주식회사,QM3,2015.0,2022-01-14,Winter,Jan
299,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022.0,2022-01-14,Winter,Jan
300,한국지엠(주),스파크 EV,2015.0,2022-01-14,Winter,Jan
301,기아주식회사,모하비,2021.0,2022-01-14,Winter,Jan
302,기아주식회사,모하비,2021.0,2022-01-14,Winter,Jan
303,현대자동차(주),싼타페(SANTAFE),2014.0,2022-01-14,Winter,Jan
304,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-14,Winter,Jan
305,기아주식회사,그랜드 카니발,2008.0,2022-01-17,Winter,Jan
306,기아주식회사,K7,2016.0,2022-01-17,Winter,Jan
307,폭스바겐그룹코리아 주식회사,Tiguan 2.0TDI,2021.0,2022-01-17,Winter,Jan
308,기아주식회사,K5,2011.0,2022-01-17,Winter,Jan
309,기아주식회사,K5,2011.0,2022-01-17,Winter,Jan
310,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022.0,2022-01-17,Winter,Jan
311,폭스바겐그룹코리아 주식회사,Golf 2.0 TDI BMT,2016.0,2022-01-17,Winter,Jan
312,르노코리아자동차 주식회사,XM3,2020.0,2022-01-17,Winter,Jan
313,기아주식회사,카니발,2008.0,2022-01-17,Winter,Jan
314,(주) 바이크코리아,TRIDENT,2022.0,2022-01-17,Winter,Jan
315,포르쉐코리아 주식회사,타이칸,2021,2022-01-17,Winter,Jan
316,만트럭버스코리아(주),TGX,2021,2022-01-17,Winter,Jan
